real complex
[0.001373 -0.006409]
[0.001434 -0.006500]
[0.001404 -0.006378]
[0.001434 -0.006531]
[0.001465 -0.006470]
[0.001556 -0.006531]
[0.001434 -0.006378]
[0.001495 -0.006348]
[0.001526 -0.006470]
[0.001526 -0.006439]
[0.001465 -0.006409]
[0.001343 -0.006439]
[0.001556 -0.006531]
[0.001556 -0.006378]
[0.001465 -0.006500]
[0.001434 -0.006592]
[0.001587 -0.006470]
[0.001465 -0.006714]
[0.001556 -0.006592]
[0.001648 -0.006592]
[0.001465 -0.006500]
[0.001465 -0.006500]
[0.001495 -0.006531]
[0.001373 -0.006439]
[0.001465 -0.006378]
[0.001526 -0.006439]
[0.001404 -0.006439]
[0.001404 -0.006500]
[0.001434 -0.006561]
[0.001373 -0.006561]
[0.001526 -0.006531]
[0.001312 -0.006531]
[0.001648 -0.006592]
[0.001556 -0.006500]
[0.001465 -0.006470]
[0.001434 -0.006439]
[0.001404 -0.006470]
[0.001434 -0.006531]
[0.001434 -0.006470]
[0.001434 -0.006531]
[0.001404 -0.006622]
[0.001495 -0.006531]
[0.001587 -0.006653]
[0.001373 -0.006531]
[0.001465 -0.006409]
[0.001373 -0.006500]
[0.001343 -0.006470]
[0.001343 -0.006683]
[0.001404 -0.006592]
[0.001343 -0.006439]
[0.001556 -0.006592]
[0.001465 -0.006714]
[0.001465 -0.006500]
[0.001465 -0.006439]
[0.001617 -0.006531]
[0.001587 -0.006409]
[0.001526 -0.006439]
[0.001587 -0.006470]
[0.001526 -0.006744]
[0.001526 -0.006531]
[0.001556 -0.006531]
[0.001556 -0.006378]
[0.001465 -0.006653]
[0.001282 -0.006531]
[0.001373 -0.006409]
[0.001587 -0.006409]
[0.001495 -0.006592]
[0.001373 -0.006470]
[0.001495 -0.006500]
[0.001526 -0.006561]
[0.001526 -0.006500]
[0.001465 -0.006470]
[0.001495 -0.006531]
[0.001556 -0.006500]
[0.001526 -0.006439]
[0.001617 -0.006531]
[0.001556 -0.006409]
[0.001495 -0.006439]
[0.001587 -0.006439]
[0.001495 -0.006409]
[0.001556 -0.006622]
[0.001617 -0.006439]
[0.001495 -0.006439]
[0.001617 -0.006409]
[0.001556 -0.006470]
[0.001617 -0.006378]
[0.001495 -0.006592]
[0.001526 -0.006500]
[0.001556 -0.006592]
[0.001495 -0.006531]
[0.001526 -0.006470]
[0.001617 -0.006470]
[0.001678 -0.006409]
[0.001617 -0.006348]
[0.001617 -0.006592]
[0.001556 -0.006622]
[0.001556 -0.006500]
[0.001617 -0.006500]
[0.001587 -0.006409]
[0.001617 -0.006561]
[0.001678 -0.006531]
[0.001495 -0.006409]
[0.001648 -0.006500]
[0.001587 -0.006531]
[0.001617 -0.006470]
[0.001617 -0.006439]
[0.001617 -0.006409]
[0.001617 -0.006470]
[0.001587 -0.006470]
[0.001587 -0.006348]
[0.001648 -0.006439]
[0.001434 -0.006531]
[0.001648 -0.006561]
[0.001739 -0.006470]
[0.001709 -0.006531]
[0.001831 -0.006439]
[0.001556 -0.006622]
[0.001587 -0.006622]
[0.001678 -0.006378]
[0.001648 -0.006531]
[0.001648 -0.006592]
[0.001739 -0.006378]
[0.001648 -0.006409]
[0.001587 -0.006439]
[0.001495 -0.006470]
[0.001556 -0.006531]
[0.001587 -0.006317]
[0.001709 -0.006470]
[0.001587 -0.006256]
[0.001678 -0.006409]
[0.001617 -0.006439]
[0.001709 -0.006500]
[0.001648 -0.006409]
[0.001709 -0.006409]
[0.001648 -0.006439]
[0.001831 -0.006409]
[0.001617 -0.006439]
[0.001556 -0.006378]
[0.001648 -0.006348]
[0.001587 -0.006378]
[0.001648 -0.006378]
[0.001801 -0.006592]
[0.001617 -0.006500]
[0.001678 -0.006317]
[0.001678 -0.006317]
[0.001678 -0.006378]
[0.001739 -0.006317]
[0.001770 -0.006470]
[0.001739 -0.006470]
[0.001678 -0.006287]
[0.001587 -0.006500]
[0.001617 -0.006287]
[0.001709 -0.006561]
[0.001709 -0.006470]
[0.001617 -0.006439]
[0.001648 -0.006439]
[0.001648 -0.006409]
[0.001648 -0.006500]
[0.001648 -0.006439]
[0.001617 -0.006470]
[0.001648 -0.006531]
[0.001587 -0.006439]

